iter	Passed	Remaining
0	194	96863
1	275	68689
2	339	56224
3	476	59042
4	538	53322
5	680	56034
6	834	58741
7	993	61127
8	1244	67895
9	1385	67906
10	1528	67963
11	1590	64675
12	1743	65328
13	1860	64577
14	1909	61732
15	2019	61101
16	2167	61590
17	2229	59703
18	2403	60853
19	2447	58742
20	2652	60499
21	2818	61234
22	2940	60988
23	3095	61392
24	3240	61560
25	3286	59915
26	3438	60236
27	3506	59113
28	3594	58377
29	3735	58525
30	3820	57793
31	3979	58195
32	4027	56998
33	4183	57339
34	4231	56218
35	4396	56668
36	4534	56746
37	4620	56176
38	4689	55431
39	4810	55321
40	4893	54788
41	4955	54043
42	5065	53833
43	5112	52983
44	5261	53196
45	5405	53348
46	5452	52553
47	5587	52616
48	5661	52108
49	5805	52252
50	5854	51541
51	6005	51739
52	6191	52215
53	6292	51970
54	6492	52527
55	6558	51999
56	6707	52131
57	6755	51482
58	6907	51628
59	7045	51665
60	7128	51300
61	7280	51430
62	7329	50842
63	7481	50965
64	7563	50616
65	7709	50693
66	7878	50919
67	8021	50961
68	8160	50973
69	8308	51037
70	8424	50905
71	8548	50816
72	8588	50236
73	8711	50151
74	8830	50041
75	8949	49931
76	9062	49786
77	9180	49666
78	9304	49583
79	9343	49054
80	9416	48709
81	9532	48594
82	9658	48526
83	9788	48475
84	9905	48359
85	10030	48287
86	10158	48222
87	10277	48116
88	10396	48008
89	10512	47891
90	10643	47836
91	10764	47736
92	10877	47602
93	11009	47553
94	11123	47420
95	11243	47315
96	11364	47214
97	11458	47003
98	11575	46886
99	11705	46822
100	11830	46735
101	11895	46415
102	12017	46319
103	12130	46190
104	12263	46133
105	12408	46120
106	12532	46029
107	12670	45990
108	12789	45877
109	12869	45629
110	12988	45519
111	13107	45409
112	13237	45336
113	13368	45266
114	13444	45008
115	13561	44893
116	13690	44814
117	13828	44766
118	13954	44679
119	14043	44472
120	14158	44346
121	14189	43963
122	14337	43943
123	14455	43831
124	14571	43715
125	14702	43641
126	14731	43267
127	14749	42864
128	14877	42788
129	14946	42538
130	15020	42309
131	15136	42198
132	15155	41819
133	15290	41764
134	15358	41525
135	15484	41444
136	15554	41214
137	15571	40845
138	15615	40555
139	15670	40294
140	15789	40200
141	15806	39849
142	15953	39828
143	16072	39734
144	16135	39503
145	16166	39197
146	16225	38963
147	16353	38895
148	16382	38592
149	16399	38265
150	16424	37962
151	16543	37875
152	16681	37832
153	16819	37790
154	16938	37702
155	16968	37418
156	17040	37227
157	17082	36975
158	17238	36970
159	17356	36882
160	17497	36843
161	17630	36785
162	17754	36707
163	17788	36444
164	17805	36151
165	17953	36123
166	18081	36054
167	18107	35783
168	18171	35590
169	18349	35619
170	18369	35342
171	18526	35329
172	18594	35146
173	18671	34982
174	18690	34711
175	18744	34507
176	18801	34309
177	18948	34278
178	19087	34229
179	19216	34163
180	19234	33898
181	19374	33851
182	19497	33773
183	19527	33535
184	19564	33311
185	19639	33154
186	19761	33077
187	19792	32847
188	19809	32596
189	19929	32515
190	20046	32431
191	20194	32396
192	20313	32311
193	20330	32067
194	20465	32010
195	20596	31945
196	20736	31893
197	20804	31732
198	20927	31653
199	21065	31598
200	21229	31579
201	21369	31524
202	21515	31478
203	21634	31391
204	21762	31317
205	21878	31224
206	22016	31162
207	22138	31078
208	22261	30996
209	22402	30937
210	22535	30866
211	22674	30803
212	22811	30736
213	22877	30575
214	22961	30437
215	23108	30383
216	23245	30315
217	23367	30228
218	23508	30163
219	23657	30109
220	23804	30051
221	23922	29956
222	24056	29881
223	24081	29671
224	24223	29606
225	24239	29387
226	24374	29314
227	24508	29238
228	24634	29152
229	24762	29068
230	24895	28990
231	24949	28821
232	25066	28723
233	25182	28626
234	25314	28546
235	25436	28454
236	25550	28353
237	25708	28300
238	25867	28248
239	25982	28147
240	26112	28062
241	26278	28016
242	26410	27931
243	26532	27837
244	26658	27746
245	26786	27657
246	26904	27558
247	27056	27492
248	27195	27414
249	27315	27315
250	27345	27127
251	27374	26939
252	27535	26882
253	27668	26797
254	27814	26724
255	27959	26648
256	28087	26557
257	28232	26481
258	28363	26392
259	28505	26312
260	28660	26244
261	28826	26186
262	28958	26095
263	29086	26001
264	29239	25929
265	29384	25849
266	29511	25753
267	29654	25671
268	29786	25578
269	29934	25499
270	30075	25414
271	30203	25317
